methods  fields   package/class name
6        0        <unnamed>
17609    7544     android
6        0        android.accessibilityservice
5        3        android.accounts
20       0        android.animation
304      28       android.app
331      49       android.content
35       40       android.content.pm
95       6        android.content.res
76       3        android.database
18       0        android.database.sqlite
277      43       android.graphics
96       0        android.graphics.drawable
2        0        android.graphics.drawable.shapes
3        0        android.graphics.pdf
42       4        android.hardware
6        0        android.hardware.display
11       0        android.hardware.fingerprint
9        1        android.location
262      3        android.media
17       1        android.media.browse
87       0        android.media.session
58       2        android.net
3        0        android.net.http
242      25       android.os
23       3        android.print
5        0        android.print.pdf
9        1        android.provider
8        0        android.renderscript
2        0        android.security
6        0        android.speech
6        0        android.speech.tts
14306    7326     android.support
20       0        android.support.annotation
305      165      android.support.graphics
305      165      android.support.graphics.drawable
1        6        android.support.graphics.drawable.animated
9006     2818     android.support.v4
41       13       android.support.v4.accessibilityservice
62       17       android.support.v4.animation
1618     770      android.support.v4.app
293      111      android.support.v4.content
1        1        android.support.v4.content.pm
20       0        android.support.v4.content.res
3        0        android.support.v4.database
316      51       android.support.v4.graphics
261      42       android.support.v4.graphics.drawable
85       16       android.support.v4.hardware
19       4        android.support.v4.hardware.display
66       12       android.support.v4.hardware.fingerprint
74       9        android.support.v4.internal
74       9        android.support.v4.internal.view
1463     609      android.support.v4.media
818      272      android.support.v4.media.session
64       5        android.support.v4.net
68       19       android.support.v4.os
84       49       android.support.v4.print
96       9        android.support.v4.provider
14       5        android.support.v4.speech
14       5        android.support.v4.speech.tts
103      55       android.support.v4.text
284      74       android.support.v4.util
2935     505      android.support.v4.view
1116     112      android.support.v4.view.accessibility
29       8        android.support.v4.view.animation
1402     495      android.support.v4.widget
4975     4343     android.support.v7
1175     451      android.support.v7.app
15       1253     android.support.v7.appcompat
69       18       android.support.v7.graphics
69       18       android.support.v7.graphics.drawable
743      401      android.support.v7.media
15       1160     android.support.v7.mediarouter
3        1        android.support.v7.text
2        2        android.support.v7.transition
743      268      android.support.v7.view
587      191      android.support.v7.view.menu
2210     789      android.support.v7.widget
3        0        android.telephony
38       5        android.text
3        0        android.text.method
3        0        android.text.style
17       0        android.transition
59       13       android.util
892      20       android.view
216      4        android.view.accessibility
32       0        android.view.animation
2        0        android.view.inputmethod
76       5        android.webkit
538      10       android.widget
36432    22624    com
36411    20981    com.google
237      169      com.google.ads
55       110      com.google.ads.afma
55       110      com.google.ads.afma.nano
151      34       com.google.ads.mediation
2        0        com.google.ads.mediation.admob
41       11       com.google.ads.mediation.customevent
36174    20812    com.google.android
36174    20812    com.google.android.gms
4        20       com.google.android.gms.actions
2564     1294     com.google.android.gms.ads
90       12       com.google.android.gms.ads.doubleclick
101      11       com.google.android.gms.ads.formats
23       13       com.google.android.gms.ads.identifier
1880     834      com.google.android.gms.ads.internal
536      176      com.google.android.gms.ads.internal.client
1        0        com.google.android.gms.ads.internal.client.zza
22       17       com.google.android.gms.ads.internal.client.zzaa
33       15       com.google.android.gms.ads.internal.client.zzaa$zza
36       17       com.google.android.gms.ads.internal.client.zzab
26       17       com.google.android.gms.ads.internal.client.zzac
7        4        com.google.android.gms.ads.internal.client.zzad
5        0        com.google.android.gms.ads.internal.client.zzae
6        0        com.google.android.gms.ads.internal.client.zzaf
9        1        com.google.android.gms.ads.internal.client.zzag
5        1        com.google.android.gms.ads.internal.client.zzag$zza
2        1        com.google.android.gms.ads.internal.client.zzag$zza$1
25       1        com.google.android.gms.ads.internal.client.zzah
2        1        com.google.android.gms.ads.internal.client.zzah$1
9        0        com.google.android.gms.ads.internal.client.zzai
3        0        com.google.android.gms.ads.internal.client.zzaj
5        0        com.google.android.gms.ads.internal.client.zzak
10       1        com.google.android.gms.ads.internal.client.zzal
2        1        com.google.android.gms.ads.internal.client.zzal$1
6        0        com.google.android.gms.ads.internal.client.zzam
2        1        com.google.android.gms.ads.internal.client.zzb
6        1        com.google.android.gms.ads.internal.client.zzc
7        1        com.google.android.gms.ads.internal.client.zzd
7        0        com.google.android.gms.ads.internal.client.zze
4        17       com.google.android.gms.ads.internal.client.zzf
6        0        com.google.android.gms.ads.internal.client.zzg
5        1        com.google.android.gms.ads.internal.client.zzh
6        0        com.google.android.gms.ads.internal.client.zzi
2        1        com.google.android.gms.ads.internal.client.zzj
4        2        com.google.android.gms.ads.internal.client.zzk
10       2        com.google.android.gms.ads.internal.client.zzl
